fields,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,1.00,0.96,0.90,0.91,0.31,0.63,0.32,0.38,0.39,0.42,0.37,0.38,0.37,0.49,0.38,0.25,0.14,0.31,0.33,0.41,0.28,0.51,0.25,0.27,0.30,0.25
B,0.96,1.00,0.92,0.93,0.31,0.65,0.32,0.37,0.38,0.40,0.36,0.37,0.36,0.47,0.36,0.24,0.13,0.31,0.33,0.41,0.28,0.51,0.25,0.27,0.30,0.26
C,0.90,0.92,1.00,0.89,0.30,0.61,0.28,0.34,0.35,0.37,0.34,0.34,0.33,0.43,0.34,0.22,0.12,0.28,0.31,0.38,0.25,0.48,0.23,0.24,0.27,0.23
D,0.91,0.93,0.89,1.00,0.34,0.68,0.29,0.34,0.34,0.37,0.32,0.34,0.33,0.43,0.33,0.20,0.12,0.27,0.30,0.39,0.25,0.49,0.22,0.25,0.27,0.23
E,0.31,0.31,0.30,0.34,1.00,0.22,0.10,0.14,0.13,0.14,0.10,0.14,0.10,0.15,0.09,0.09,0.06,0.14,0.18,0.18,0.13,0.20,0.10,0.14,0.13,0.11
F,0.63,0.65,0.61,0.68,0.22,1.00,0.26,0.33,0.36,0.37,0.33,0.35,0.36,0.41,0.36,0.18,0.10,0.19,0.23,0.30,0.20,0.40,0.23,0.18,0.19,0.20
G,0.32,0.32,0.28,0.29,0.10,0.26,1.00,0.81,0.65,0.35,0.27,0.54,0.34,0.42,0.28,0.07,0.06,0.20,0.22,0.24,0.17,0.30,0.22,0.17,0.19,0.21
H,0.38,0.37,0.34,0.34,0.14,0.33,0.81,1.00,0.66,0.41,0.33,0.61,0.41,0.49,0.36,0.14,0.08,0.25,0.27,0.32,0.22,0.36,0.26,0.24,0.24,0.26
I,0.39,0.38,0.35,0.34,0.13,0.36,0.65,0.66,1.00,0.43,0.34,0.72,0.41,0.46,0.39,0.16,0.09,0.23,0.25,0.31,0.24,0.36,0.27,0.21,0.23,0.26
J,0.42,0.40,0.37,0.37,0.14,0.37,0.35,0.41,0.43,1.00,0.55,0.46,0.70,0.68,0.59,0.18,0.11,0.23,0.25,0.31,0.24,0.35,0.24,0.22,0.22,0.24
K,0.37,0.36,0.34,0.32,0.10,0.33,0.27,0.33,0.34,0.55,1.00,0.38,0.60,0.60,0.55,0.15,0.11,0.21,0.23,0.27,0.23,0.30,0.20,0.19,0.20,0.22
L,0.38,0.37,0.34,0.34,0.14,0.35,0.54,0.61,0.72,0.46,0.38,1.00,0.44,0.49,0.42,0.18,0.09,0.21,0.24,0.30,0.24,0.35,0.26,0.21,0.21,0.27
M,0.37,0.36,0.33,0.33,0.10,0.36,0.34,0.41,0.41,0.70,0.60,0.44,1.00,0.71,0.69,0.15,0.12,0.21,0.22,0.27,0.22,0.33,0.22,0.20,0.21,0.23
N,0.49,0.47,0.43,0.43,0.15,0.41,0.42,0.49,0.46,0.68,0.60,0.49,0.71,1.00,0.62,0.21,0.12,0.27,0.28,0.36,0.29,0.42,0.26,0.27,0.27,0.27
O,0.38,0.36,0.34,0.33,0.09,0.36,0.28,0.36,0.39,0.59,0.55,0.42,0.69,0.62,1.00,0.12,0.13,0.20,0.20,0.26,0.21,0.32,0.21,0.18,0.19,0.21
P,0.25,0.24,0.22,0.20,0.09,0.18,0.07,0.14,0.16,0.18,0.15,0.18,0.15,0.21,0.12,1.00,0.38,0.20,0.23,0.22,0.17,0.21,0.13,0.17,0.20,0.17
Q,0.14,0.13,0.12,0.12,0.06,0.10,0.06,0.08,0.09,0.11,0.11,0.09,0.12,0.12,0.13,0.38,1.00,0.13,0.12,0.12,0.09,0.12,0.08,0.10,0.13,0.09
R,0.31,0.31,0.28,0.27,0.14,0.19,0.20,0.25,0.23,0.23,0.21,0.21,0.21,0.27,0.20,0.20,0.13,1.00,0.66,0.54,0.26,0.49,0.18,0.46,0.96,0.24
S,0.33,0.33,0.31,0.30,0.18,0.23,0.22,0.27,0.25,0.25,0.23,0.24,0.22,0.28,0.20,0.23,0.12,0.66,1.00,0.66,0.28,0.55,0.18,0.59,0.63,0.24
T,0.41,0.41,0.38,0.39,0.18,0.30,0.24,0.32,0.31,0.31,0.27,0.30,0.27,0.36,0.26,0.22,0.12,0.54,0.66,1.00,0.28,0.81,0.23,0.91,0.53,0.27
U,0.28,0.28,0.25,0.25,0.13,0.20,0.17,0.22,0.24,0.24,0.23,0.24,0.22,0.29,0.21,0.17,0.09,0.26,0.28,0.28,1.00,0.28,0.21,0.22,0.25,0.30
V,0.51,0.51,0.48,0.49,0.20,0.40,0.30,0.36,0.36,0.35,0.30,0.35,0.33,0.42,0.32,0.21,0.12,0.49,0.55,0.81,0.28,1.00,0.24,0.56,0.48,0.26
W,0.25,0.25,0.23,0.22,0.10,0.23,0.22,0.26,0.27,0.24,0.20,0.26,0.22,0.26,0.21,0.13,0.08,0.18,0.18,0.23,0.21,0.24,1.00,0.18,0.17,0.25
X,0.27,0.27,0.24,0.25,0.14,0.18,0.17,0.24,0.21,0.22,0.19,0.21,0.20,0.27,0.18,0.17,0.10,0.46,0.59,0.91,0.22,0.56,0.18,1.00,0.45,0.22
Y,0.30,0.30,0.27,0.27,0.13,0.19,0.19,0.24,0.23,0.22,0.20,0.21,0.21,0.27,0.19,0.20,0.13,0.96,0.63,0.53,0.25,0.48,0.17,0.45,1.00,0.23
Z,0.25,0.26,0.23,0.23,0.11,0.20,0.21,0.26,0.26,0.24,0.22,0.27,0.23,0.27,0.21,0.17,0.09,0.24,0.24,0.27,0.30,0.26,0.25,0.22,0.23,1.00

